FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
2,1,1,0,2.4,3.25,2.5,2.42,3.25,2.6,2.3,3.0,2.7,2.4,3.25,2.5,2.4,3.2,2.62,2.4,3.25,2.625,2.5,3.1,2.5,1.85,1.75,1.8,1.9
1,0,1,0,1.571,3.5,5.0,1.66,3.45,5.3,1.55,3.5,4.8,1.53,3.5,5.5,1.62,3.4,5.0,1.615,3.3,5.5,1.61,3.3,5.0,1.65,1.95,1.72,2.0
0,1,0,1,2.4,3.25,2.5,2.5,3.25,2.52,2.5,3.0,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.25,2.5,2.4,3.1,2.6,1.65,1.95,1.72,2.0
1,1,1,0,2.5,3.25,2.4,2.5,3.25,2.5,2.3,3.0,2.7,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5,2.5,3.1,2.5,1.75,1.85,1.8,1.9
2,2,1,1,1.571,3.5,5.0,1.55,3.7,5.3,1.55,3.5,4.8,1.53,3.5,5.5,1.53,3.6,5.5,1.5330000000000001,3.6,5.5,1.57,3.5,5.0,1.7,1.9,1.66,2.1
1,3,1,1,2.0,3.2,3.2,2.15,3.25,3.22,2.2,3.0,2.9,2.0,3.2,3.2,2.0,3.2,3.4,2.0,3.2,3.4,2.0,3.0,3.4,1.7,1.9,1.66,2.1
0,2,0,0,2.3,3.2,2.625,2.46,3.25,2.55,2.4,3.0,2.6,2.4,3.25,2.5,2.38,3.25,2.62,2.375,3.25,2.625,2.4,3.1,2.6,1.7,1.9,1.72,2.0
5,3,1,2,1.571,3.5,5.0,1.55,3.65,5.32,1.6,3.4,4.6,1.53,3.5,5.5,1.53,3.4,6.0,1.5330000000000001,3.5,6.0,1.57,3.5,5.0,1.65,1.95,1.66,2.1
2,2,1,1,2.6,3.2,2.375,2.86,3.3,2.3,2.7,3.0,2.3,2.75,3.2,2.25,,,,2.875,3.2,2.2,2.62,3.2,2.3,1.75,1.85,1.8,1.9
0,1,0,1,1.909,3.2,3.5,1.97,3.3,3.7,1.9,3.1,3.3,1.91,3.25,3.4,,,,2.0,3.2,3.3,1.9,3.25,3.4,1.68,1.95,1.66,2.1
0,2,0,2,4.333,3.2,1.7269999999999999,4.25,3.37,1.8,3.6,3.1,1.85,4.0,3.4,1.73,,,,4.333,3.4,1.7,4.2,3.25,1.72,1.7,1.93,1.8,1.9
2,2,0,0,2.0,3.2,3.2,2.1,3.3,3.27,2.1,3.0,3.1,2.1,3.2,3.0,,,,2.1,3.25,3.0,2.1,3.2,3.0,1.65,1.95,1.66,2.1
2,2,2,0,1.444,3.6,6.5,1.5,3.8,6.0,1.45,3.8,5.4,1.53,3.5,5.5,,,,1.5,3.5,6.0,1.5,3.4,6.0,1.8,1.89,1.9,1.8
3,0,1,0,1.6669999999999998,3.3,4.5,1.7,3.37,4.61,1.75,3.2,4.0,1.67,3.4,4.33,,,,1.6669999999999998,3.4,4.5,1.57,3.5,5.0,1.65,1.97,1.66,2.1
2,0,1,0,2.5,3.25,2.4,2.6,3.3,2.5,2.5,3.0,2.5,2.5,3.25,2.4,,,,2.5,3.2,2.5,2.62,3.1,2.37,1.73,1.9,1.83,1.83
1,1,0,0,1.444,3.6,6.5,1.45,3.75,6.75,1.4,3.9,6.0,1.44,3.6,6.5,,,,1.444,3.75,6.5,1.44,3.6,6.5,1.65,2.01,1.72,2.0
2,2,1,2,1.7269999999999999,3.2,4.333,1.68,3.6,4.85,1.75,3.2,4.0,1.67,3.4,4.33,,,,1.615,3.4,5.0,1.66,3.4,4.33,1.65,1.98,1.72,2.0
2,0,1,0,1.5330000000000001,3.4,5.5,1.55,3.55,6.0,1.55,3.5,4.8,1.44,3.75,6.0,1.5,3.5,6.0,1.5,3.6,6.0,1.5,3.4,6.0,1.6,2.05,1.57,2.25
0,3,0,1,1.7269999999999999,3.2,4.333,1.7,3.36,4.75,1.7,3.2,4.2,1.67,3.25,4.5,1.7,3.4,4.33,1.7,3.4,4.333,1.66,3.3,4.5,1.6,2.05,1.66,2.1
