FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
0,0,0,0,2.4,3.2,2.5,2.45,3.3,2.45,2.4,3.2,2.4,2.4,3.2,2.5,2.35,3.2,2.5,1.65,1.95
2,0,0,0,2.25,3.2,2.7,2.18,3.3,2.82,2.2,3.1,2.8,2.3,3.2,2.625,2.2,3.2,2.7,1.65,1.95
2,2,0,1,1.571,3.5,5.0,1.55,3.7,5.0,1.6,3.4,4.6,1.615,3.5,4.5,1.6,3.35,4.7,1.62,2.0
0,1,0,1,2.375,3.1,2.625,2.5,3.2,2.5,2.3,3.1,2.6,2.4,3.2,2.5,,,,1.7,1.9
2,1,1,0,1.1,7.0,13.0,1.15,6.5,11.0,1.15,6.0,12.0,1.143,6.0,12.0,1.15,5.5,12.0,1.33,2.9
1,4,0,4,4.0,3.4,1.7269999999999999,4.5,3.3,1.7,3.8,3.3,1.75,4.2,3.4,1.7,4.0,3.2,1.75,1.6,2.05
2,1,1,0,1.7269999999999999,3.1,4.5,1.7,3.3,4.5,1.7,3.2,4.2,1.6669999999999998,3.3,4.5,1.65,3.3,4.5,1.75,1.85
6,0,5,0,1.083,8.0,13.0,1.1,7.0,16.0,1.15,6.0,12.0,1.1,7.0,15.0,1.1,6.5,15.0,1.33,2.9
5,0,2,0,2.0,3.2,3.2,2.2,3.2,2.9,2.2,3.1,2.8,2.1,3.2,3.0,2.0,3.2,3.1,1.65,1.95
1,5,1,1,2.75,3.2,2.25,2.75,3.2,2.3,2.6,3.1,2.3,2.75,3.25,2.2,2.5,3.25,2.35,1.65,1.95
1,2,0,2,1.909,3.2,3.5,1.9,3.25,3.6,2.0,3.1,3.2,2.0,3.2,3.2,1.9,3.0,3.6,1.65,1.95
