FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
0,1,0,0,1.8,3.0,4.2,1.9,3.2,4.12,1.8,3.0,4.0,1.8,3.2,4.0,1.8330000000000002,3.1,4.0,1.8,3.1,4.0,2.0,1.65
2,0,1,0,2.2,3.0,3.0,2.3,3.1,3.28,2.4,2.7,2.9,2.1,3.0,3.2,2.25,2.875,3.2,2.1,2.87,3.3,2.0,1.65
1,1,0,0,1.66,3.1,5.0,1.7,3.31,5.25,1.65,3.2,4.6,1.61,3.2,5.5,1.6,3.4,5.5,1.61,3.1,5.5,1.98,1.75
2,0,1,0,2.25,3.0,2.87,2.38,3.12,3.0,2.3,2.8,2.9,2.37,3.0,2.75,2.3,3.0,3.0,2.37,2.87,2.8,2.05,1.6
3,0,1,0,2.2,3.0,3.0,2.27,3.0,3.15,2.1,2.9,3.2,2.4,3.2,2.5,2.2,3.0,3.2,2.1,3.0,3.2,2.05,1.6
3,2,0,0,1.66,3.1,5.0,1.67,3.3,5.35,1.7,3.1,4.4,,,,1.6,3.25,5.5,1.61,3.1,5.5,1.9,1.7
0,2,0,0,1.909,3.0,3.75,1.9,3.1,4.25,1.8,3.0,4.0,1.8,3.2,4.0,1.909,3.0,4.0,1.9,3.0,3.75,1.91,1.7
0,2,0,1,1.8,3.0,4.2,1.85,3.15,4.0,1.85,3.0,3.8,1.91,3.2,3.5,1.85,3.1,4.0,1.9,3.0,3.75,1.91,1.7
4,2,1,2,1.7269999999999999,3.1,4.5,1.75,3.2,4.75,1.8,3.0,4.0,1.67,3.25,4.5,1.7,3.2,4.75,1.72,3.1,4.5,1.86,1.75
0,0,0,0,1.5,3.4,6.0,1.55,3.45,6.65,1.5,3.5,5.4,1.57,3.25,5.5,1.5,3.4,6.5,1.5,3.3,6.5,1.91,1.7
4,1,1,1,2.0,3.0,3.4,2.0,3.05,3.6,2.0,2.9,3.4,2.0,3.0,3.4,2.1,3.0,3.3,2.0,3.0,3.4,1.95,1.65
0,0,0,0,2.0,3.0,3.4,1.96,3.05,3.7,1.9,3.0,3.6,2.0,3.0,3.4,2.05,3.0,3.4,1.9,2.87,4.0,1.95,1.65
0,1,0,0,2.1,3.0,3.2,2.0,3.1,3.55,2.0,2.9,3.4,2.0,3.0,3.4,2.1,3.0,3.25,2.0,3.0,3.4,1.95,1.65
0,0,0,0,1.615,3.25,5.0,1.62,3.4,5.6,1.6,3.2,5.0,1.62,3.25,5.0,1.615,3.4,5.0,1.61,3.3,5.0,1.91,1.7
3,2,1,1,2.25,3.0,2.875,2.3,2.95,3.0,2.3,2.8,2.9,2.38,2.88,2.8,2.3,3.0,3.0,2.25,2.8,3.1,1.95,1.65
0,1,0,1,1.7269999999999999,3.1,4.5,1.71,3.35,5.2,1.65,3.2,4.6,,,,1.6669999999999998,3.2,5.0,1.66,3.1,5.0,1.9,1.77
1,0,1,0,1.6669999999999998,2.875,5.5,1.73,3.3,5.2,1.65,3.2,4.6,,,,1.6669999999999998,3.2,5.0,1.61,3.1,5.5,1.9,1.7
