FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
0,2,0,0,2.87,3.0,2.3,3.1,2.95,2.2,2.7,2.9,2.4,2.88,3.0,2.25,3.1,3.0,2.2,3.1,3.0,2.2,3.0,2.87,2.25,1.95,1.75,1.83,1.83,1.55,2.3,0.5,1.85,2.0,0.25,1.8,2.1,0.25
2,1,2,0,1.72,2.9,5.0,1.65,3.2,5.1,1.75,3.0,4.4,1.73,2.88,5.0,1.75,3.0,4.75,1.75,3.0,4.75,1.8,3.0,4.2,1.75,1.95,1.8,1.9,1.95,1.85,-0.75,1.95,1.9,-0.75,2.05,1.85,-0.75
1,0,0,0,1.9,3.0,3.8,2.0,3.0,3.8,1.85,2.9,4.0,2.0,3.0,3.4,1.91,3.1,3.75,1.91,3.1,3.75,2.0,2.87,3.6,2.0,1.71,2.0,1.72,1.95,1.85,-0.5,1.95,1.9,-0.5,2.05,1.85,-0.5
2,0,1,0,1.2,5.0,12.0,1.25,4.75,10.0,1.25,4.3,10.0,1.25,4.5,10.0,1.25,4.75,10.0,1.25,4.75,10.0,1.22,4.5,12.0,1.55,2.25,1.66,2.1,1.85,1.95,-1.5,1.85,2.0,-1.5,1.9,2.0,-1.5
0,0,0,0,2.0,3.0,3.5,2.0,3.0,3.7,2.0,2.8,3.6,2.0,2.875,3.6,2.0,3.0,3.5,2.0,3.0,3.5,2.1,2.87,3.3,1.95,1.75,1.83,1.83,1.9,1.9,-0.25,1.9,1.95,-0.25,1.9,2.0,-0.25
2,0,2,0,1.5,3.4,6.5,1.45,3.7,7.0,1.5,3.5,5.4,1.444,3.5,7.0,1.5,3.4,6.5,1.5,3.4,6.5,1.44,3.6,6.5,1.75,1.95,1.8,1.9,1.95,1.85,-1.25,1.95,1.9,-1.25,2.075,1.825,-1.25
3,0,1,0,1.14,6.0,13.0,1.18,5.25,14.0,1.2,4.8,11.0,1.167,5.0,13.0,1.17,5.5,13.0,1.16,5.5,13.0,1.14,6.0,12.0,1.65,2.05,1.66,2.1,1.9,1.9,-1.75,1.9,1.95,-1.75,1.85,2.05,-1.75
4,1,0,0,1.33,4.2,8.0,1.32,4.35,8.82,1.33,4.0,7.5,1.286,4.333,9.0,1.3,4.33,8.5,1.3,4.33,8.5,1.28,4.33,8.5,1.75,1.95,1.75,1.95,1.9,1.9,-1.25,1.9,1.95,-1.25,1.975,1.925,-1.25
0,0,0,0,3.0,3.0,2.25,3.15,3.05,2.2,2.8,2.9,2.3,3.0,2.875,2.25,2.88,2.88,2.38,3.0,2.87,2.3,3.2,2.8,2.2,1.95,1.75,1.9,1.8,1.9,1.9,0.25,1.95,1.9,0.25,1.85,2.05,0.25
2,2,1,1,1.9,2.9,4.0,1.85,3.15,4.1,1.8,2.9,4.2,1.8330000000000002,3.0,4.0,1.83,3.0,4.33,1.83,3.0,4.2,1.9,2.87,4.0,1.85,1.85,1.8,1.9,1.85,1.95,-0.5,1.85,2.0,-0.5,1.925,1.975,-0.5
1,1,1,1,2.1,3.0,3.25,2.05,3.0,3.45,1.9,2.9,3.8,2.0,3.0,3.4,2.0,3.0,3.5,2.0,3.0,3.5,2.1,2.8,3.4,,,1.95,1.75,1.8,2.0,-0.25,1.8,2.05,-0.25,1.85,2.05,-0.25
2,0,0,0,2.25,3.0,3.0,2.25,3.1,3.0,2.2,2.8,3.1,2.25,2.875,3.0,2.25,3.0,3.0,2.25,2.87,3.1,2.25,2.75,3.2,,,1.9,1.8,1.85,1.95,-0.25,1.85,2.0,-0.25,1.95,1.95,-0.25
1,2,0,1,2.25,3.0,3.0,2.3,3.0,3.0,2.3,2.8,2.9,2.1,3.2,3.0,2.25,3.0,3.0,2.3,2.87,3.0,2.3,2.9,2.9,1.95,1.75,2.0,1.72,1.9,1.9,-0.25,1.95,1.9,-0.25,2.0,1.9,-0.25
6,0,2,0,1.33,4.0,9.0,1.3,4.25,10.0,1.3,4.0,8.5,1.25,4.5,10.0,1.3,4.0,10.0,1.3,4.0,10.0,1.25,4.5,10.0,1.71,2.0,1.75,2.05,1.95,1.85,-1.5,2.1,1.75,-1.5,2.05,1.85,-1.5
0,2,0,1,5.0,3.2,1.66,5.15,3.3,1.65,4.2,3.2,1.7,5.0,3.25,1.62,4.33,3.25,1.73,4.33,3.25,1.73,4.5,3.1,1.72,1.95,1.75,1.9,1.9,1.9,1.9,0.75,1.95,1.9,0.75,1.925,1.975,0.75
1,1,0,1,2.5,3.0,2.62,2.8,2.9,2.48,2.5,2.8,2.7,2.62,2.88,2.5,2.5,2.88,2.7,2.5,2.88,2.7,2.5,2.8,2.75,1.95,1.75,1.95,1.85,1.9,1.9,0.0,1.9,1.95,0.0,1.925,1.975,0.0
0,4,0,3,4.33,3.0,1.8,4.25,3.05,1.85,3.6,3.1,1.85,4.33,3.0,1.8,4.2,3.0,1.83,4.2,3.0,1.83,3.75,3.0,1.9,1.75,1.95,1.9,1.9,1.95,1.85,0.5,1.95,1.9,0.5,2.0,1.9,0.5
0,2,0,1,4.0,3.1,1.83,4.0,3.2,1.85,3.3,3.0,2.0,3.75,3.0,1.91,3.6,3.0,2.0,3.6,3.0,2.0,3.6,2.87,2.0,1.79,1.9,1.85,1.95,1.95,1.85,0.5,1.8,2.05,0.5,1.85,2.05,0.5
1,0,0,0,4.33,3.0,1.8,3.8,3.05,1.95,3.8,3.1,1.8,3.4,3.0,2.0,4.0,2.9,1.91,4.0,2.9,1.91,3.75,3.0,1.9,1.75,1.95,1.95,1.85,1.85,1.95,0.5,1.9,1.95,0.5,1.95,1.95,0.5
3,1,1,0,1.4,3.6,8.0,1.45,3.6,7.5,1.35,3.8,7.5,1.4,3.75,7.0,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8.0,1.71,2.0,1.7,2.1,1.95,1.85,-1.25,1.95,1.9,-1.25,1.95,1.95,-1.25
