FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
2,2,1,0,2.3,3.1,2.8,2.2,2.8,2.8,2.2,3,3,2.3,3,2.8,2.25,3,2.87
0,0,0,0,2.15,3,3.1,2.2,2.8,2.8,2.37,3.2,2.6,2.2,3,3,2.2,3,3
1,3,0,3,2.35,3,2.77,2.3,2.8,2.6,2.5,3.2,2.5,2.38,2.9,2.75,,,
4,3,3,2,1.24,4.8,9.3,1.25,4.3,8,1.2,5,11,1.25,4.6,9,1.25,4.5,10
2,2,1,0,,,,2.2,2.8,2.8,2.2,3.2,2.8,2.1,3.1,3,2.2,3,3
2,0,1,0,1.95,3.2,3.4,1.7,3.1,3.8,1.73,3.4,4,1.75,3.2,4.2,1.83,3.3,3.6
6,1,2,0,2,3,3.45,1.85,2.9,3.4,1.91,3.2,3.5,1.91,3.2,3.5,2,3,3.4
1,0,1,0,3.55,3.3,1.85,3,2.9,2,,,,3.4,3.25,1.91,3.75,3.2,1.83
4,1,3,0,1.3,4.5,8,1.3,4,7,,,,1.33,4,8,1.33,4,8
0,1,0,0,1.7,3.25,4.25,1.7,3.1,3.8,,,,1.67,3.2,4.75,1.61,3.25,5
2,1,1,0,1.6,3.3,5.2,1.6,3.2,4.2,,,,1.57,3.4,5.2,,,
3,0,2,0,1.28,4.45,8.7,1.3,4,7,,,,1.33,4,8,1.33,4,8
1,0,1,0,2,3,3.5,2.1,2.8,3,,,,2.1,3.1,3.1,1.9,3.1,3.6
0,1,0,1,2.1,3,3.2,2.1,2.8,3,,,,2.1,3,3.2,2,3,3.4
1,3,1,0,2.1,3.1,3.15,2.1,2.8,3,,,,2.1,3.1,3.1,2.2,3.2,2.8
