FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
1,2,1,0,2.2,2.95,3.1,2.1,3,3.1,2.25,3,2.87,2.3,2.9,2.9,2.38,2.88,2.8,2.25,2.87,3
2,1,2,1,1.75,3.2,4.3,1.75,3.2,4,1.73,3.2,4.33,1.8,3,4.33,1.8,3.1,4,1.72,3.1,4.5
1,3,1,1,1.95,3.05,3.65,1.9,3,3.6,1.91,3.2,3.5,2,3,3.5,1.91,3.1,3.6,2,2.87,3.6
0,0,0,0,1.9,3.05,3.8,2,2.9,3.4,1.91,3.2,3.5,1.91,3,3.8,1.83,3,4,1.9,2.87,4
3,0,3,0,1.35,4,8,1.35,4,7,1.33,3.75,9,1.4,3.75,7.5,1.36,3.75,8,1.33,4,8
1,0,1,0,1.3,4.4,8.35,1.35,4,7,1.33,3.75,9,1.3,4.33,8.5,1.29,4.33,8.5,1.25,4.5,10
3,4,2,3,2.65,3.1,2.35,2.8,2.8,2.4,2.75,2.87,2.4,2.8,2.88,2.4,2.62,2.88,2.5,2.8,2.9,2.37
1,0,0,0,1.82,3.1,4.1,1.8,3,4,1.8,3.2,4,1.83,3,4.2,1.8,3,4.33,1.83,2.87,4.33
2,2,2,1,2.05,3.1,3.3,2.1,2.9,3.2,2.1,3,3.2,2,2.9,3.6,2.2,2.88,3.1,2,2.9,3.5
2,2,1,1,1.44,3.75,6.4,1.5,3.7,5,1.44,3.6,6.5,1.44,3.5,7,1.5,3.4,6,1.44,3.75,6
0,0,0,0,1.35,4.1,7.6,1.45,3.5,6,1.36,3.75,4.5,1.33,4,8,1.3,4.33,8,1.33,4,8
1,1,0,0,1.6,3.3,5.3,1.5,3.5,5.4,1.61,3.25,5,1.62,3.25,5,1.62,3.25,5,1.61,3.3,5
0,2,0,0,3.6,3,2,3.3,3,2,3.75,3,1.91,3.5,2.88,2.05,3.75,3,1.91,3.6,2.87,2
1,0,0,0,3.3,3,2.1,3.2,2.9,2.1,3.5,3.2,1.91,3.4,3,2,3.4,3,2,3.1,2.87,2.2
3,2,0,1,1.33,4.1,8.3,1.35,4,7,1.3,4,9,1.3,4.33,8,1.3,4.33,8,1.36,3.75,8
3,1,1,1,1.9,3.1,3.6,1.9,3.1,3.5,1.8,3.2,4,1.85,3,4,1.91,3,3.8,1.9,3,3.75
1,2,0,1,5.65,3.4,1.55,4.6,3.2,1.65,6,3.4,1.5,6,3.2,1.55,5,3.25,1.62,7,3.2,1.5
1,2,0,0,2,2.85,3.7,1.9,3,3.6,2,3,3.4,2,3,3.5,1.91,2.88,4,1.9,2.87,4
3,1,1,0,2.2,2.9,3.15,2.2,2.9,3,2.25,2.87,3,2.2,3,3,2.2,2.8,3.2,2.2,3.1,2.87
1,1,0,0,3.2,3.05,2.1,3.1,3,2.1,3.2,3,2.1,3.2,3,2.1,3.2,3,2.1,3.1,2.87,2.2
2,0,1,0,1.4,3.85,7.25,1.55,3.5,4.8,1.4,3.75,7,1.4,3.75,7,1.4,3.75,7,1.4,3.75,7
3,0,2,0,1.28,4.5,9,1.25,4.5,9,1.33,3.75,9,1.33,4,8,1.3,4.33,8,1.28,4,10
5,0,2,0,1.4,3.8,7.2,1.4,3.7,6.4,1.4,3.75,7,1.44,3.5,7,1.4,3.75,7,1.44,3.4,7
0,0,0,0,1.95,2.9,3.85,2,2.9,3.4,2.1,2.87,3.4,2.1,2.88,3.4,2,2.88,3.6,2.1,2.8,3.4
1,1,0,0,3.75,3.3,1.84,3.6,3,1.9,4,3.2,1.8,3.75,3.2,1.83,4,3,1.83,4,3,1.83
1,0,1,0,1.55,3.35,5.85,1.5,3.5,5.4,1.57,3.25,5.5,1.6,3.25,5.25,1.5,3.4,6,1.5,3.4,6
2,1,2,0,1.95,3.2,3.5,2,2.9,3.4,2.1,3,3.2,2,2.875,3.6,2.1,3,3.2,1.9,3,3.75
2,0,1,0,1.9,3.05,3.85,1.85,3.1,3.6,1.83,3,4,1.909,3,3.8,1.909,3,3.75,2,3,3.4
1,3,0,1,3.25,3.1,2.05,3.3,3,2,3.2,3,2.1,3.1,3,2.15,3,3,2.2,3.3,2.87,2.1
1,3,1,1,2.1,3,3.3,2,2.9,3.4,2.2,3,3,2.1,3,3.25,2.1,2.875,3.3,2.1,2.87,3.3
2,3,2,1,1.4,3.85,7,1.4,3.7,6.4,1.36,3.75,8,1.4,3.75,7.5,1.4,3.75,7,1.36,3.75,8
3,1,0,1,2.05,3,3.4,2,2.9,3.4,2,3,3.4,2.05,3,3.4,2.1,3,3.2,2.1,3,3.2
2,0,1,0,1.3,4.4,8.3,1.3,4.2,8,1.33,3.75,9,1.3,4.333,8.5,1.286,4.333,8.5,1.25,4.5,10
1,0,0,0,2.9,3,2.3,2.8,2.9,2.3,2.8,2.87,2.37,2.8,3,2.375,2.8,3,2.3,2.8,2.87,2.4
1,1,0,1,5.75,3.65,1.5,4.6,3.4,1.6,6,3.4,1.5,6.5,3.4,1.5,5.5,3.4,1.533,5.5,3.4,1.53
3,1,0,1,2.25,3.1,2.85,2.4,2.9,2.7,2.25,3,2.87,2.375,3,2.75,2.375,2.875,2.8,2.37,2.9,2.8
0,0,0,0,1.33,4.2,7.85,1.4,3.7,6.4,1.4,3.75,7,1.4,3.75,7.5,1.333,4,8,1.3,4,9.5
1,1,0,1,1.5,3.5,6.3,1.5,3.5,5.4,1.5,3.4,6,1.5,3.5,6,1.5,3.4,6,1.53,3.5,5.5
1,4,0,3,2.35,2.9,2.9,2.4,2.8,2.8,2.4,3,2.62,2.375,3,2.75,2.3,2.8,3,2.37,3,2.7
2,2,2,0,4.2,3.2,1.75,3.5,3.1,1.9,3.75,3,1.91,3.75,3.1,1.909,4,3,1.833,4,3,1.83
3,0,1,0,1.21,5,11,1.2,5,10,1.25,4.5,10,1.25,4.6,10,1.2,5,11,1.2,5,11
1,1,1,0,2.15,3,3.15,2.2,2.8,3.1,2.1,3,3.2,2.2,3,3.1,2.2,2.875,3.1,2.25,2.87,3
