FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
1,1,1,0,2.9,2.9,2.32,2.9,2.7,2.2,3,3.2,2.1,2.7,3,2.38,2.62,3.1,2.37
0,1,0,0,2.1,2.9,3.35,2,2.6,3.4,2.37,3.2,2.6,2.05,2.9,3.4,2.1,3.1,3.1
1,1,0,0,1.57,3.4,5.3,1.55,3.2,4.8,1.57,3.5,5,1.55,3.3,5.25,1.55,3.35,5.5
3,0,3,0,1.75,3.3,4,1.8,2.9,3.6,1.73,3.2,4.33,1.75,3.2,4.2,1.75,3.2,4.2
2,0,0,0,1.6,3.35,5.2,1.55,3.2,4.8,1.67,3.25,4.5,1.62,3.25,5,1.65,3.3,4.6
2,1,1,1,1.8,3.2,3.9,1.75,3.1,3.6,1.8,3.25,3.75,1.75,3.3,4,1.75,3,4.5
1,1,0,1,2.1,3,3.2,2.1,2.7,3.1,2.2,3.25,2.75,2.1,3.2,3,2.15,2.9,3.2
3,2,2,1,2.15,3.1,2.9,2.1,2.7,3.1,2.4,3.25,2.5,2.3,3,2.8,2.35,2.8,2.9
1,3,1,2,1.6,3.25,5.25,1.6,3,4.5,1.67,3.25,4.5,1.6,3.3,5,1.6,3.25,5.25
2,1,0,1,1.75,3.2,4.2,1.75,3,3.8,1.83,3.2,3.75,1.75,3.25,4,1.75,3.2,4.2
1,0,0,0,2.25,2.95,2.85,2.3,2.8,2.6,2.4,3.25,2.5,2.3,2.9,2.9,2.35,3,2.75
0,1,0,1,2.22,2.95,3,2.2,2.7,2.9,,,,2.2,3,3,2,3.1,3.3
1,2,0,0,2.05,3,3.4,2.1,2.7,3.1,,,,2.1,3.1,3.1,2.05,3.1,3.2
1,0,0,0,2.12,3,3.15,2.1,2.8,3,,,,2.05,3,3.25,2.1,3,3.2
2,1,2,0,1.77,3.1,4.2,1.65,3.2,3.9,,,,1.73,3.2,4.33,1.8,3.1,4
0,2,0,0,2.17,3,3.05,2,2.7,3.2,,,,2.2,3,3,2.15,3,3.1
