FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
0,1,0,0,2.3,3.2,2.7,2.2,3.25,2.85,2.3,3.1,2.8,2.4,3,2.6,2.4,3.25,2.5,2.3,3.1,2.7,2.2,3.3,2.75,1.71,1.95,2.3,1.47,-0.5,2.04,1.8,-0.25,,,
0,3,0,1,2.25,3.2,2.75,2.3,3.25,2.7,2.3,3.1,2.8,2.4,3,2.6,2.2,3.25,2.75,2.3,3.1,2.7,2.55,3.1,2.45,1.71,1.95,2.3,1.47,-0.5,2.02,1.82,0,,,
4,0,1,0,1.28,4.5,8,1.3,4.5,8.25,1.3,4.5,8.5,1.33,4,7.5,1.25,4.5,10,1.3,4.5,7.5,1.28,4.5,8,1.45,2.45,1.3,2.94,-0.5,1.96,1.88,-1.5,,,
1,2,0,1,2.1,3.2,3,2.1,3.3,3,2.1,3.2,3.1,2.1,3,3.1,2,3.4,3,2.1,3.2,3,2.15,3.3,2.8,1.71,1.95,2.1,1.57,-0.5,1.92,1.92,-0.25,,,
2,1,0,0,2,3.2,3.2,1.9,3.25,3.65,2,3.15,3.4,1.9,3.1,3.5,2,3.4,3,2,3.2,3.2,1.9,3.25,3.4,1.6,2.1,2,1.64,-0.5,1.76,2.08,-0.25,,,
2,0,1,0,2,3.2,3.2,1.95,3.35,3.3,2.05,3.2,3.2,1.9,3.1,3.5,2,3.2,3.2,2,3.2,3.2,2,3.2,3.2,1.6,2.1,2.05,1.6,-0.5,2.06,1.78,-0.5,,,
5,0,1,0,1.5,3.6,5.5,1.5,3.65,5.75,1.45,3.8,6.25,1.5,3.7,5,1.5,3.4,6,1.5,3.6,5.5,1.55,3.5,5.25,1.6,2.1,1.45,2.36,-0.5,1.88,1.96,-1.25,,,
0,1,0,0,2.3,3.25,2.62,2.4,3.2,2.6,2.3,3.2,2.75,2.2,3,2.9,2.4,3.25,2.5,2.3,3.25,2.62,2.2,3.35,2.7,1.71,1.95,2.3,1.48,-0.5,,,,,,
2,2,0,1,2.87,3.4,2.1,3.2,3.35,2,3,3.3,2.1,3.1,3,2.1,3,3.2,2.1,3,3.2,2.1,2.7,3.35,2.2,1.71,1.95,1.57,2.1,0.5,,,,,,
4,0,3,0,2.1,3.2,3,2,3.3,3.25,2.15,3.25,2.95,2.1,3,3.1,2,3.2,3.2,2.1,3.2,3,2.1,3.35,2.85,1.55,2.2,2.15,1.55,-0.5,,,,,,
0,0,0,0,3.75,3.4,1.8,3.8,3.4,1.8,4,3.4,1.72,3.6,3.1,1.85,3.6,3.4,1.8,4,3.3,1.75,3.6,3.4,1.8,1.55,2.2,1.84,1.72,0.5,2.08,1.76,0.5,,,
1,1,0,1,1.8,3.4,3.75,1.8,3.4,3.8,1.8,3.4,3.8,1.8,3.1,3.8,1.8,3.5,3.5,1.85,3.25,3.6,1.75,3.4,3.8,1.6,2.1,1.8,1.79,-0.5,1.8,2.04,-0.5,,,
1,4,0,1,1.9,3.4,3.4,1.95,3.35,3.3,2,3.25,3.3,1.9,3.1,3.5,2,3.2,3.2,1.91,3.25,3.4,1.85,3.4,3.4,1.6,2.1,2,1.64,-0.5,2.08,1.76,-0.5,,,
3,0,0,0,1.44,3.75,6.5,1.5,3.75,5.6,1.45,3.75,6.5,1.45,3.8,5.4,1.4,3.75,7,1.44,3.75,6,1.4,3.9,6.5,1.5,2.3,2.03,1.48,-1.5,1.8,2.04,-1.25,,,
1,0,1,0,1.28,4.5,9,1.3,4.5,8.25,1.3,4.75,7.5,1.3,4.2,8,1.3,4,9,1.3,4.33,8,1.25,5,8,1.5,2.3,1.76,1.66,-1.5,1.82,2.02,-1.5,,,
4,1,1,1,3,3.25,2.1,2.7,3.25,2.3,2.95,3.25,2.15,2.9,3,2.2,3,3.2,2.1,3,3.2,2.1,2.75,3.25,2.2,1.6,2.1,1.55,2.15,0.5,1.96,1.88,0.25,,,
2,4,1,1,3.75,3.3,1.8,3.8,3.4,1.8,3.5,3.3,1.8,3.4,3.2,1.9,3.5,3.4,1.83,3.2,3.2,2,3.2,3.2,2,1.6,2.1,,,,1.9,1.94,0.5,,,
4,3,2,1,1.83,3.25,3.75,1.85,3.35,3.65,1.75,3.35,4.15,1.85,3.1,3.6,1.73,3.4,4,1.85,3.25,3.6,1.8,3.4,3.6,1.64,2,1.75,1.85,-0.5,1.84,2,-0.5,,,
3,0,2,0,1.9,3.25,3.4,1.85,3.35,3.65,1.9,3.25,3.6,1.9,3.2,3.4,1.91,3.25,3.4,1.91,3.25,3.4,1.9,3.4,3.25,1.65,2,1.9,1.71,-0.5,1.94,1.9,-0.5,1.975,1.875,-0.5
0,0,0,0,2.3,3.1,2.7,2.7,3.25,2.3,2.5,3.2,2.5,2.7,3,2.3,,,,2.4,3.2,2.5,2.5,3.1,2.5,1.65,2,2.5,1.4,-0.5,1.94,1.9,0,1.925,1.925,0
4,0,1,0,1.72,3.4,4,1.8,3.4,3.8,1.67,3.4,4.5,1.7,3.3,4,1.67,3.4,4.33,1.73,3.25,4.2,1.65,3.55,4.2,1.6,2.1,1.67,1.94,-0.5,1.76,2.08,-0.5,1.95,1.9,-0.75
0,3,0,1,8,4.5,1.28,7.2,4.25,1.35,7,4.4,1.35,7.5,4,1.33,,,,8,4,1.33,8,4,1.33,1.5,2.3,1.6,1.85,1.5,2.12,1.72,1.25,1.975,1.875,1.5
