Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D1,2013-10-1,Kaiserslautern,Hansa Rostock,3,1,H,0,1,A,38000,16,11,6,4,1,0,9,6,13,20,5,7,0,3,0,0,0,30,,,,1.4,3.9,6,1.44,3.6,6.5,,,,1.36,4,7,1.4,3.75,7
D1,2013-10-1,M'gladbach,Dortmund,1,2,A,0,2,A,34500,15,11,7,6,1,0,14,4,23,19,2,6,3,2,0,1,30,45,,,,2.7,2.9,2.4,2.75,3.2,2.25,,,,2.75,3,2.38,2.75,3.2,2.25
D1,2013-10-1,Munich 1860,Bayern Munich,1,5,A,1,2,A,69000,13,16,5,9,0,0,3,7,13,11,0,0,4,0,0,0,40,0,,,,4,3.1,1.75,4.33,3.4,1.67,,,,4.5,3.5,1.62,4.5,3.3,1.66
D1,2013-10-1,Stuttgart,Schalke 04,3,0,H,1,0,H,30000,12,10,3,3,0,0,6,7,13,14,2,1,1,4,0,0,10,40,,,,2.4,2.9,2.7,2.25,3.2,2.75,,,,2.38,3.2,2.6,2.4,3.1,2.6
D1,2014-10-1,FC Koln,Wolfsburg,0,4,A,0,2,A,29000,9,17,4,7,0,1,7,4,16,22,2,4,2,1,0,0,20,10,,,,2,3.1,3.2,1.73,3.4,4,,,,1.91,3.2,3.5,1.83,3.3,3.6
D1,2014-10-1,Werder Bremen,Nurnberg,3,0,H,1,0,H,26650,16,6,10,1,0,0,4,2,15,12,9,7,1,1,0,0,10,10,,,,1.6,3.4,4.6,1.57,3.5,5,,,,1.62,3.5,4.5,1.57,3.5,5
D1,2020-10-1,Bayern Munich,Kaiserslautern,4,1,H,3,0,H,63000,9,4,6,2,1,0,5,4,12,15,2,1,0,1,0,0,0,10,1.55,3.55,5.25,1.55,3.5,4.8,1.57,3.5,5,,,,1.62,3.5,4.5,1.57,3.5,5
D1,2020-10-1,Hansa Rostock,FC Koln,3,0,H,0,0,D,20000,23,10,9,3,0,3,10,4,16,11,2,3,1,1,0,0,10,10,2.15,3,3.15,2,3.1,3.2,2.1,3.2,3,,,,2.1,3.2,3,2,3.2,3.2
D1,2020-10-1,Hertha,Werder Bremen,3,1,H,2,1,H,25000,13,8,6,5,0,1,2,2,14,26,3,0,3,4,0,1,30,65,1.85,3.2,3.85,1.9,3.1,3.5,1.8,3.25,3.75,,,,1.91,3.2,3.5,1.9,3.25,3.4
D1,2020-10-1,Leverkusen,Stuttgart,4,1,H,1,1,D,22500,16,4,7,3,0,0,6,1,24,24,2,3,2,1,0,0,20,10,1.5,3.6,5.8,1.55,3.5,4.8,1.4,3.75,7,,,,1.5,3.6,5.5,1.53,3.4,5.5
